Peak Date,Track,With,Streams,Global,US,GB,CA,AU,DE,SE,DK,NO,NL,FR,NZ,IE,IT,BR,PL,ES,MX,PH,CH,BE,FI,PT,TR,SG,AT,AR,IS,MY,HU,CZ,CL,TW,GR,CO,HK,ID,RO,LV,IL,SK,LT,CR,JP,EE,BG,PE,IN,TH,DO,EC,PA,MT,LU,GT,HN,PY,UY,VN,BO,CY,SV,NI
20160506,Figure it Out,"French Montana, Nas","1,675,306",--,161,--,142,--,--,--,--,154,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20130623,Hold My Liquor,,"1,592,202",--,16,49,--,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20130623,I Am A God,,"1,568,378",--,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20130623,On Sight,,"1,315,388",--,12,44,--,33,--,--,--,--,--,--,--,44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20130623,I'm In It,,"1,070,659",--,21,--,--,47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20201017,Nah Nah Nah,,"592,884",--,100,--,134,--,--,164,--,152,--,--,--,--,--,--,--,--,--,--,--,--,189,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,166,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20130623,Guilt Trip,,"543,921",--,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20130623,Send It Up,,"525,971",--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20170324,Touch The Sky,Lupe Fiasco,"449,224",--,--,113,--,160,--,--,--,--,--,--,--,118,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20180831,XTCY,,"362,081",--,113,--,--,--,--,171,--,147,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,184,--,--,--,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
